BARCODE	NAMA ITEM
8886022930240	ABC BATERAI BIRU R6 4 S
8991002101265	ABC KOPI PLUS 18 GR SCT
8991002101630	ABC KOPI SUSU 32 GR SCT
711844120037	ABC SAMBAL ASLI
711844120419	ABC SAMBAL ASLI 275 ML
711844120167	ABC SAMBAL AYAM GORENG
0711844120082	ABC SAMBAL EXTRA PEDAS BTL135ML
711844120105	ABC SAMBAL MANIS PEDAS
711844162419	ABC SARI KACANG HIJAU 250ML
711844130128	ABC SAUS TOMAT 275 ML
711844154568	ABC SPECIAL GRADE
711844150003	ABC SQUASH DELIGHT
711844150157	ABC SYRP DUO FRUIT MIX 2'SX300ML
0711844340008	ABC TERASI UDANG 20 S @ 4
711844340008	ABC TERASI UDANG ISI 20 PCS
711844340039	ABC TERASI UDANG PEDAS 20 sct
8991002101333	abc white coffe instan
8992772122245	ADEM SARI
8992772585026	ADEM SARI CHINGKU BOTOL
8992772586030	ADEM SARI CHINGKU HERBAL LEMON
8992761139018	ADES
8992855888235	AGAR AGAR POWDER RED
8992933434118	AGARASA EKONOMI COKLAT 12G
8992933432114	AGARASA EKONOMIS STRAWBERY 5g
978C8C35BBA6	AIR CHEERS GELAS
83EEEB92A664	AIR CLEO GELAS
8992770011138	AJINO MOTO 12GR
6992710011169	ajinomoto
8992770011084	AJINOMOTO 100 GR
8992770011169	AJINOMOTO 180G
8992770011152	AJINOMOTO 29 GR PTPA
8998866500319	ALE ALE JERUK
8998866500319	ALE ALE ORANGE 200 ML /CUP
8998866500715	ALE-ALE GRAPE 200 ML
8886022971298	Alkaline AA 2pcs
8886022941512	Alkaline AAA 2pcs
8990800014227	ALPENLIBE ECLAIRS
8990800012414	ALPENLIEBE LOLIPOP
8991115000080	ALPENLIEBE ORIGINAL BAG 140 GR
3E35FCFB92FE	AMOXILIN
512E8847622C	AMPLOP KECIL
9555257700605	ANAK TANI JAM 240G MIXED FRUIT
9555257700599	ANAK TANI JAM 450G MIXED FRUIT
9415007039693	ANLENE ACTIFIT MOCHA CARAMELLO 250 GR
9415007004455	ANLENE ACTIFIT PLAIN 250 GR
9415007008033	ANLENE ACTIFIT VANILLA 250 GR
9415007009818	ANLENE GOLD KTK 250 GR COKLAT
9415007006824	ANLENE GOLD ORIGINAL 250 GR
9415007027614	Anlene Gold Plain 100 gr
5587241B1F6A	ANTALGIN
8992003784204	Antangin Fit 15 ml
8992003170403	ANTANGIN JRG 4 TABLET
8992003782354	ANTANGIN JRG SACHET 15 ML
8992003782347	ANTANGIN JRG SRP
79A043637388	Antimo
8993498210230	Antimo
8993498210285	ANTIMO ANAK
8993498210261	Antimo Anak
8993498210612	Antimo Herbal Mint
8886008101091	AQUA 1500 ML
899752091301	AQUA 450ML
8886008101053	AQUA 600 ML
4800110005881	AQUA BLUE MWATER 1.5GAL
8992752091301	AQUA CLICK N GO MINI
8992752091127	AQUA CLICK&GO
8992752141099	AQUA DISNEY 330ML
819A38707BD9	AQUA GALON
8886008101046	AQUA GELAS 240 ML
8886008101336	AQUA MINI
8992761122485	AQUARIUS
